TEAM_ID,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,SEASON
1610612746,West,L.A. Clippers,82.0,37.0,45.0,0.451,27-14,10-31,2005
1610612744,West,Golden State,82.0,34.0,48.0,0.415,20-21,14-27,2005
1610612747,West,L.A. Lakers,82.0,34.0,48.0,0.415,22-19,12-29,2005
1610612757,West,Portland,82.0,27.0,55.0,0.3289999999999999,18-23,9-32,2005
1610612759,West,San Antonio,82.0,59.0,23.0,0.72,38-3,21-20,2005
1610612740,West,New Orleans,82.0,18.0,64.0,0.22,11-30,7-34,2005
1610612756,West,Phoenix,82.0,54.0,28.0,0.659,31-10,23-18,2006
1610612763,West,Memphis,82.0,49.0,33.0,0.598,30-11,19-22,2006
1610612746,West,L.A. Clippers,82.0,47.0,35.0,0.573,27-14,20-21,2006
1610612747,West,L.A. Lakers,82.0,45.0,37.0,0.5489999999999999,27-14,18-23,2006
1610612743,West,Denver,82.0,44.0,38.0,0.537,26-15,18-23,2006
1610612758,West,Sacramento,82.0,44.0,38.0,0.537,27-14,17-24,2006
1610612762,West,Utah,82.0,41.0,41.0,0.5,22-19,19-22,2006
1610612740,West,New Orleans/Oklahoma City,82.0,38.0,44.0,0.4629999999999999,24-17,14-27,2006
1610612760,West,Seattle,82.0,35.0,47.0,0.4270000000000001,22-19,13-28,2006
1610612744,West,Golden State,82.0,34.0,48.0,0.415,21-20,13-28,2006
1610612745,West,Houston,82.0,34.0,48.0,0.415,15-26,19-22,2006
1610612750,West,Minnesota,82.0,33.0,49.0,0.402,24-17,9-32,2006
1610612757,West,Portland,82.0,21.0,61.0,0.256,15-26,6-35,2006
1610612759,West,San Antonio,82.0,63.0,19.0,0.768,34-7,29-12,2006
1610612742,West,Dallas,82.0,60.0,22.0,0.732,34-7,26-15,2006
1610612747,West,L.A. Lakers,82.0,42.0,40.0,0.512,25-16,17-24,2007
1610612757,West,Portland,82.0,32.0,50.0,0.39,18-23,14-27,2007
1610612750,West,Minnesota,82.0,32.0,50.0,0.39,20-21,12-29,2007
1610612758,West,Sacramento,82.0,33.0,49.0,0.402,20-21,13-28,2007
1610612740,West,New Orleans/Oklahoma City,82.0,39.0,43.0,0.476,24-17,15-26,2007
1610612746,West,L.A. Clippers,82.0,40.0,42.0,0.488,25-16,15-26,2007
1610612744,West,Golden State,82.0,42.0,40.0,0.512,30-11,12-29,2007
1610612743,West,Denver,82.0,45.0,37.0,0.5489999999999999,23-18,22-19,2007
1610612762,West,Utah,82.0,51.0,31.0,0.622,31-10,20-21,2007
1610612745,West,Houston,82.0,52.0,30.0,0.634,28-13,24-17,2007
1610612759,West,San Antonio,82.0,58.0,24.0,0.7070000000000001,31-10,27-14,2007
1610612756,West,Phoenix,82.0,61.0,21.0,0.7440000000000001,33-8,28-13,2007
1610612742,West,Dallas,82.0,67.0,15.0,0.8170000000000001,36-5,31-10,2007
1610612763,West,Memphis,82.0,22.0,60.0,0.268,14-27,8-33,2007
1610612760,West,Seattle,82.0,31.0,51.0,0.3779999999999999,20-21,11-30,2007
1610612750,West,Minnesota,82.0,22.0,60.0,0.268,15-26,7-34,2008
1610612759,West,San Antonio,82.0,56.0,26.0,0.6829999999999999,34-7,22-19,2008
1610612745,West,Houston,82.0,55.0,27.0,0.6709999999999999,31-10,24-17,2008
1610612756,West,Phoenix,82.0,55.0,27.0,0.6709999999999999,30-11,25-16,2008
1610612762,West,Utah,82.0,54.0,28.0,0.659,37-4,17-24,2008
1610612742,West,Dallas,82.0,51.0,31.0,0.622,34-7,17-24,2008
1610612747,West,L.A. Lakers,82.0,57.0,25.0,0.695,30-11,27-14,2008
1610612743,West,Denver,82.0,50.0,32.0,0.61,33-8,17-24,2008
1610612744,West,Golden State,82.0,48.0,34.0,0.585,27-14,21-20,2008
1610612757,West,Portland,82.0,41.0,41.0,0.5,28-13,13-28,2008
1610612758,West,Sacramento,82.0,38.0,44.0,0.4629999999999999,26-15,12-29,2008
1610612746,West,L.A. Clippers,82.0,23.0,59.0,0.28,13-28,10-31,2008
1610612763,West,Memphis,82.0,22.0,60.0,0.268,14-27,8-33,2008
1610612740,West,New Orleans,82.0,56.0,26.0,0.6829999999999999,30-11,26-15,2008
1610612760,West,Seattle,82.0,20.0,62.0,0.244,13-28,7-34,2008
1610612747,West,L.A. Lakers,82.0,65.0,17.0,0.7929999999999999,36-5,29-12,2009
1610612743,West,Denver,82.0,54.0,28.0,0.659,33-8,21-20,2009
1610612757,West,Portland,82.0,54.0,28.0,0.659,34-7,20-21,2009
1610612759,West,San Antonio,82.0,54.0,28.0,0.659,28-13,26-15,2009
1610612745,West,Houston,82.0,53.0,29.0,0.6459999999999999,33-8,20-21,2009
1610612742,West,Dallas,82.0,50.0,32.0,0.61,32-9,18-23,2009
1610612762,West,Utah,82.0,48.0,34.0,0.585,33-8,15-26,2009
1610612756,West,Phoenix,82.0,46.0,36.0,0.561,28-13,18-23,2009
1610612763,West,Memphis,82.0,24.0,58.0,0.293,16-25,8-33,2009
1610612750,West,Minnesota,82.0,24.0,58.0,0.293,11-30,13-28,2009
1610612760,West,Oklahoma City,82.0,23.0,59.0,0.28,15-26,8-33,2009
1610612746,West,L.A. Clippers,82.0,19.0,63.0,0.2319999999999999,11-30,8-33,2009
1610612758,West,Sacramento,82.0,17.0,65.0,0.207,11-30,6-35,2009
1610612740,West,New Orleans,82.0,49.0,33.0,0.598,28-13,21-20,2009
1610612744,West,Golden State,82.0,29.0,53.0,0.354,21-20,8-33,2009
1610612747,West,L.A. Lakers,82.0,57.0,25.0,0.695,34-7,23-18,2010
1610612742,West,Dallas,82.0,55.0,27.0,0.6709999999999999,28-13,27-14,2010
1610612756,West,Phoenix,82.0,54.0,28.0,0.659,32-9,22-19,2010
1610612743,West,Denver,82.0,53.0,29.0,0.6459999999999999,34-7,19-22,2010
1610612762,West,Utah,82.0,53.0,29.0,0.6459999999999999,32-9,21-20,2010
1610612760,West,Oklahoma City,82.0,50.0,32.0,0.61,27-14,23-18,2010
1610612759,West,San Antonio,82.0,50.0,32.0,0.61,29-12,21-20,2010
1610612745,West,Houston,82.0,42.0,40.0,0.512,23-18,19-22,2010
1610612740,West,New Orleans,82.0,37.0,45.0,0.451,24-17,13-28,2010
1610612746,West,L.A. Clippers,82.0,29.0,53.0,0.354,21-20,8-33,2010
1610612744,West,Golden State,82.0,26.0,56.0,0.317,18-23,8-33,2010
1610612758,West,Sacramento,82.0,25.0,57.0,0.305,18-23,7-34,2010
1610612750,West,Minnesota,82.0,15.0,67.0,0.183,10-31,5-36,2010
1610612757,West,Portland,82.0,50.0,32.0,0.61,26-15,24-17,2010
1610612763,West,Memphis,82.0,40.0,42.0,0.488,23-18,17-24,2010
1610612744,West,Golden State,82.0,36.0,46.0,0.439,26-15,10-31,2011
1610612758,West,Sacramento,82.0,24.0,58.0,0.293,11-30,13-28,2011
1610612741,East,Chicago,82.0,62.0,20.0,0.7559999999999999,36-5,26-15,2011
1610612750,West,Minnesota,82.0,17.0,65.0,0.207,12-29,5-36,2011
1610612748,East,Miami,82.0,58.0,24.0,0.7070000000000001,30-11,28-13,2011
1610612738,East,Boston,82.0,56.0,26.0,0.6829999999999999,33-8,23-18,2011
1610612753,East,Orlando,82.0,52.0,30.0,0.634,29-12,23-18,2011
1610612737,East,Atlanta,82.0,44.0,38.0,0.537,24-17,20-21,2011
1610612752,East,New York,82.0,42.0,40.0,0.512,23-18,19-22,2011
1610612755,East,Philadelphia,82.0,41.0,41.0,0.5,26-15,15-26,2011
1610612754,East,Indiana,82.0,37.0,45.0,0.451,24-17,13-28,2011
1610612749,East,Milwaukee,82.0,35.0,47.0,0.4270000000000001,22-19,13-28,2011
1610612766,East,Charlotte,82.0,34.0,48.0,0.415,21-20,13-28,2011
1610612765,East,Detroit,82.0,30.0,52.0,0.366,21-20,9-32,2011
1610612751,East,New Jersey,82.0,24.0,58.0,0.293,19-22,5-36,2011
1610612764,East,Washington,82.0,23.0,59.0,0.28,20-21,3-38,2011
1610612761,East,Toronto,82.0,22.0,60.0,0.268,16-25,6-35,2011
1610612739,East,Cleveland,82.0,19.0,63.0,0.2319999999999999,12-29,7-34,2011
1610612743,West,Denver,82.0,50.0,32.0,0.61,33-8,17-24,2011
1610612757,West,Portland,82.0,48.0,34.0,0.585,30-11,18-23,2011
1610612745,West,Houston,82.0,43.0,39.0,0.524,25-16,18-23,2011
1610612760,West,Oklahoma City,82.0,55.0,27.0,0.6709999999999999,30-11,25-16,2011
1610612747,West,L.A. Lakers,82.0,57.0,25.0,0.695,30-11,27-14,2011
1610612742,West,Dallas,82.0,57.0,25.0,0.695,29-12,28-13,2011
1610612759,West,San Antonio,82.0,61.0,21.0,0.7440000000000001,36-5,25-16,2011
1610612756,West,Phoenix,82.0,40.0,42.0,0.488,23-18,17-24,2011
1610612762,West,Utah,82.0,39.0,43.0,0.476,21-20,18-23,2011
1610612746,West,L.A. Clippers,82.0,32.0,50.0,0.39,23-18,9-32,2011
1610612763,West,Memphis,82.0,46.0,36.0,0.561,30-11,16-25,2011
1610612740,West,New Orleans,82.0,46.0,36.0,0.561,28-13,18-23,2011
1610612753,East,Orlando,82.0,20.0,62.0,0.244,12-29,8-33,2013
1610612744,West,Golden State,82.0,47.0,35.0,0.573,28-13,19-22,2013
1610612745,West,Houston,82.0,45.0,37.0,0.5489999999999999,29-12,16-25,2013
1610612747,West,L.A. Lakers,82.0,45.0,37.0,0.5489999999999999,29-12,16-25,2013
1610612762,West,Utah,82.0,43.0,39.0,0.524,30-11,13-28,2013
1610612742,West,Dallas,82.0,41.0,41.0,0.5,24-17,17-24,2013
1610612757,West,Portland,82.0,33.0,49.0,0.402,22-19,11-30,2013
1610612750,West,Minnesota,82.0,31.0,51.0,0.3779999999999999,20-21,11-30,2013
1610612758,West,Sacramento,82.0,28.0,54.0,0.341,20-21,8-33,2013
1610612740,West,New Orleans,82.0,27.0,55.0,0.3289999999999999,16-25,11-30,2013
1610612756,West,Phoenix,82.0,25.0,57.0,0.305,17-24,8-33,2013
1610612748,East,Miami,82.0,66.0,16.0,0.805,37-4,29-12,2013
1610612752,East,New York,82.0,54.0,28.0,0.659,31-10,23-18,2013
1610612751,East,Brooklyn,82.0,49.0,33.0,0.598,26-15,23-18,2013
1610612741,East,Chicago,82.0,45.0,37.0,0.5489999999999999,24-17,21-20,2013
1610612737,East,Atlanta,82.0,44.0,38.0,0.537,25-16,19-22,2013
1610612749,East,Milwaukee,82.0,38.0,44.0,0.4629999999999999,21-20,17-24,2013
1610612755,East,Philadelphia,82.0,34.0,48.0,0.415,23-18,11-30,2013
1610612763,West,Memphis,82.0,56.0,26.0,0.6829999999999999,32-9,24-17,2013
1610612761,East,Toronto,82.0,34.0,48.0,0.415,21-20,13-28,2013
1610612765,East,Detroit,82.0,29.0,53.0,0.354,18-23,11-30,2013
1610612764,East,Washington,82.0,29.0,53.0,0.354,22-19,7-34,2013
1610612743,West,Denver,82.0,57.0,25.0,0.695,38-3,19-22,2013
1610612739,East,Cleveland,82.0,24.0,58.0,0.293,14-27,10-31,2013
1610612766,East,Charlotte,82.0,21.0,61.0,0.256,15-26,6-35,2013
1610612746,West,L.A. Clippers,82.0,56.0,26.0,0.6829999999999999,32-9,24-17,2013
1610612759,West,San Antonio,82.0,58.0,24.0,0.7070000000000001,35-6,23-18,2013
1610612760,West,Oklahoma City,82.0,60.0,22.0,0.732,34-7,26-15,2013
1610612764,East,Washington,82.0,44.0,38.0,0.537,22-19,22-19,2014
1610612755,East,Philadelphia,82.0,19.0,63.0,0.2319999999999999,10-31,9-32,2014
1610612741,East,Chicago,82.0,48.0,34.0,0.585,27-14,21-20,2014
1610612761,East,Toronto,82.0,48.0,34.0,0.585,26-15,22-19,2014
1610612751,East,Brooklyn,82.0,44.0,38.0,0.537,28-13,16-25,2014
1610612766,East,Charlotte,82.0,43.0,39.0,0.524,25-16,18-23,2014
1610612753,East,Orlando,82.0,23.0,59.0,0.28,19-22,4-37,2014
1610612752,East,New York,82.0,37.0,45.0,0.451,19-22,18-23,2014
1610612739,East,Cleveland,82.0,33.0,49.0,0.402,19-22,14-27,2014
1610612765,East,Detroit,82.0,29.0,53.0,0.354,17-24,12-29,2014
1610612738,East,Boston,82.0,25.0,57.0,0.305,16-25,9-32,2014
1610612754,East,Indiana,82.0,56.0,26.0,0.6829999999999999,35-6,21-20,2014
1610612737,East,Atlanta,82.0,38.0,44.0,0.4629999999999999,24-17,14-27,2014
1610612748,East,Miami,82.0,54.0,28.0,0.659,32-9,22-19,2014
1610612749,East,Milwaukee,82.0,15.0,67.0,0.183,10-31,5-36,2014
1610612759,West,San Antonio,82.0,62.0,20.0,0.7559999999999999,32-9,30-11,2014
1610612744,West,Golden State,82.0,51.0,31.0,0.622,27-14,24-17,2014
1610612760,West,Oklahoma City,82.0,59.0,23.0,0.72,34-7,25-16,2014
1610612746,West,L.A. Clippers,82.0,57.0,25.0,0.695,34-7,23-18,2014
1610612745,West,Houston,82.0,54.0,28.0,0.659,33-8,21-20,2014
1610612757,West,Portland,82.0,54.0,28.0,0.659,31-10,23-18,2014
1610612763,West,Memphis,82.0,50.0,32.0,0.61,27-14,23-18,2014
1610612747,West,L.A. Lakers,82.0,27.0,55.0,0.3289999999999999,14-27,13-28,2014
1610612756,West,Phoenix,82.0,48.0,34.0,0.585,26-15,22-19,2014
1610612762,West,Utah,82.0,25.0,57.0,0.305,16-25,9-32,2014
1610612758,West,Sacramento,82.0,28.0,54.0,0.341,17-24,11-30,2014
1610612742,West,Dallas,82.0,49.0,33.0,0.598,26-15,23-18,2014
1610612743,West,Denver,82.0,36.0,46.0,0.439,22-19,14-27,2014
1610612750,West,Minnesota,82.0,40.0,42.0,0.488,24-17,16-25,2014
1610612740,West,New Orleans,82.0,34.0,48.0,0.415,22-19,12-29,2014
1610612740,West,New Orleans,82.0,45.0,37.0,0.5489999999999999,28-13,17-24,2015
1610612744,West,Golden State,82.0,67.0,15.0,0.8170000000000001,39-2,28-13,2015
1610612745,West,Houston,82.0,56.0,26.0,0.6829999999999999,30-11,26-15,2015
1610612746,West,L.A. Clippers,82.0,56.0,26.0,0.6829999999999999,30-11,26-15,2015
1610612763,West,Memphis,82.0,55.0,27.0,0.6709999999999999,31-10,24-17,2015
1610612759,West,San Antonio,82.0,55.0,27.0,0.6709999999999999,33-8,22-19,2015
1610612757,West,Portland,82.0,51.0,31.0,0.622,32-9,19-22,2015
1610612756,West,Phoenix,82.0,39.0,43.0,0.476,22-19,17-24,2015
1610612760,West,Oklahoma City,82.0,45.0,37.0,0.5489999999999999,29-12,16-25,2015
1610612762,West,Utah,82.0,38.0,44.0,0.4629999999999999,21-20,17-24,2015
1610612743,West,Denver,82.0,30.0,52.0,0.366,19-22,11-30,2015
1610612758,West,Sacramento,82.0,29.0,53.0,0.354,18-23,11-30,2015
1610612747,West,L.A. Lakers,82.0,21.0,61.0,0.256,12-29,9-32,2015
1610612750,West,Minnesota,82.0,16.0,66.0,0.195,9-32,7-34,2015
1610612742,West,Dallas,82.0,50.0,32.0,0.61,27-14,23-18,2015
1610612742,West,Dallas,82.0,42.0,40.0,0.512,23-18,19-22,2016
1610612744,West,Golden State,82.0,73.0,9.0,0.89,39-2,34-7,2016
1610612759,West,San Antonio,82.0,67.0,15.0,0.8170000000000001,40-1,27-14,2016
1610612760,West,Oklahoma City,82.0,55.0,27.0,0.6709999999999999,32-9,23-18,2016
1610612746,West,LA Clippers,82.0,53.0,29.0,0.6459999999999999,29-12,24-17,2016
1610612757,West,Portland,82.0,44.0,38.0,0.537,28-13,16-25,2016
1610612763,West,Memphis,82.0,42.0,40.0,0.512,26-15,16-25,2016
1610612756,West,Phoenix,82.0,23.0,59.0,0.28,14-27,9-32,2016
1610612762,West,Utah,82.0,40.0,42.0,0.488,24-17,16-25,2016
1610612747,West,L.A. Lakers,82.0,17.0,65.0,0.207,12-29,5-36,2016
1610612750,West,Minnesota,82.0,29.0,53.0,0.354,14-27,15-26,2016
1610612745,West,Houston,82.0,41.0,41.0,0.5,23-18,18-23,2016
1610612758,West,Sacramento,82.0,33.0,49.0,0.402,18-23,15-26,2016
1610612743,West,Denver,82.0,33.0,49.0,0.402,18-23,15-26,2016
1610612740,West,New Orleans,82.0,30.0,52.0,0.366,21-20,9-32,2016
1610612744,West,Golden State,82.0,67.0,15.0,0.8170000000000001,36-5,31-10,2017
1610612759,West,San Antonio,82.0,61.0,21.0,0.7440000000000001,31-10,30-11,2017
1610612745,West,Houston,82.0,55.0,27.0,0.6709999999999999,30-11,25-16,2017
1610612746,West,LA Clippers,82.0,51.0,31.0,0.622,29-12,22-19,2017
1610612762,West,Utah,82.0,51.0,31.0,0.622,29-12,22-19,2017
1610612760,West,Oklahoma City,82.0,47.0,35.0,0.573,28-13,19-22,2017
1610612763,West,Memphis,82.0,43.0,39.0,0.524,24-17,19-22,2017
1610612756,West,Phoenix,82.0,24.0,58.0,0.293,15-26,9-32,2017
1610612743,West,Denver,82.0,40.0,42.0,0.488,22-19,18-23,2017
1610612740,West,New Orleans,82.0,34.0,48.0,0.415,21-20,13-28,2017
1610612742,West,Dallas,82.0,33.0,49.0,0.402,21-20,12-29,2017
1610612758,West,Sacramento,82.0,32.0,50.0,0.39,17-24,15-26,2017
1610612750,West,Minnesota,82.0,31.0,51.0,0.3779999999999999,20-21,11-30,2017
1610612747,West,L.A. Lakers,82.0,26.0,56.0,0.317,17-24,9-32,2017
1610612757,West,Portland,82.0,41.0,41.0,0.5,25-16,16-25,2017
1610612745,West,Houston,82.0,65.0,17.0,0.7929999999999999,34-7,31-10,2018
1610612744,West,Golden State,82.0,58.0,24.0,0.7070000000000001,29-12,29-12,2018
1610612757,West,Portland,82.0,49.0,33.0,0.598,28-13,21-20,2018
1610612740,West,New Orleans,82.0,48.0,34.0,0.585,24-17,24-17,2018
1610612760,West,Oklahoma City,82.0,48.0,34.0,0.585,27-14,21-20,2018
1610612750,West,Minnesota,82.0,47.0,35.0,0.573,30-11,17-24,2018
1610612762,West,Utah,82.0,48.0,34.0,0.585,28-13,20-21,2018
1610612743,West,Denver,82.0,46.0,36.0,0.561,31-10,15-26,2018
1610612746,West,LA Clippers,82.0,42.0,40.0,0.512,22-19,20-21,2018
1610612747,West,L.A. Lakers,82.0,35.0,47.0,0.4270000000000001,20-21,15-26,2018
1610612758,West,Sacramento,82.0,27.0,55.0,0.3289999999999999,14-27,13-28,2018
1610612742,West,Dallas,82.0,24.0,58.0,0.293,15-26,9-32,2018
1610612763,West,Memphis,82.0,22.0,60.0,0.268,16-25,6-35,2018
1610612756,West,Phoenix,82.0,21.0,61.0,0.256,10-31,11-30,2018
1610612759,West,San Antonio,82.0,47.0,35.0,0.573,33-8,14-27,2018
1610612757,West,Portland,82.0,53.0,29.0,0.6459999999999999,32-9,21-20,2019
1610612744,West,Golden State,82.0,57.0,25.0,0.695,30-11,27-14,2019
1610612743,West,Denver,82.0,54.0,28.0,0.659,34-7,20-21,2019
1610612745,West,Houston,82.0,53.0,29.0,0.6459999999999999,31-10,22-19,2019
1610612762,West,Utah,82.0,50.0,32.0,0.61,29-12,21-20,2019
1610612760,West,Oklahoma City,82.0,49.0,33.0,0.598,27-14,22-19,2019
1610612746,West,LA Clippers,82.0,48.0,34.0,0.585,26-15,22-19,2019
1610612759,West,San Antonio,82.0,48.0,34.0,0.585,32-9,16-25,2019
1610612758,West,Sacramento,82.0,39.0,43.0,0.476,24-17,15-26,2019
1610612747,West,L.A. Lakers,82.0,37.0,45.0,0.451,22-19,15-26,2019
1610612750,West,Minnesota,82.0,36.0,46.0,0.439,25-16,11-30,2019
1610612742,West,Dallas,82.0,33.0,49.0,0.402,24-17,9-32,2019
1610612763,West,Memphis,82.0,33.0,49.0,0.402,21-20,12-29,2019
1610612740,West,New Orleans,82.0,33.0,49.0,0.402,19-22,14-27,2019
1610612756,West,Phoenix,82.0,19.0,63.0,0.2319999999999999,12-29,7-34,2019
1610612744,West,Golden State,82.0,53.0,29.0,0.646,31-10,22-19,2022
1610612747,West,L.A. Lakers,82.0,33.0,49.0,0.402,21-20,12-29,2022
1610612758,West,Sacramento,82.0,30.0,52.0,0.366,16-25,14-27,2022
1610612745,West,Houston,82.0,20.0,62.0,0.244,11-30,9-32,2022
1610612760,West,Oklahoma City,82.0,24.0,58.0,0.293,12-29,12-29,2022
1610612763,West,Memphis,82.0,56.0,26.0,0.683,30-11,26-15,2022
1610612759,West,San Antonio,82.0,34.0,48.0,0.415,16-25,18-23,2022
1610612746,West,LA Clippers,82.0,42.0,40.0,0.512,25-16,17-24,2022
1610612750,West,Minnesota,82.0,46.0,36.0,0.561,26-15,20-21,2022
1610612743,West,Denver,82.0,48.0,34.0,0.585,23-18,25-16,2022
1610612762,West,Utah,82.0,49.0,33.0,0.598,29-12,20-21,2022
1610612742,West,Dallas,82.0,52.0,30.0,0.634,29-12,23-18,2022
1610612757,West,Portland,82.0,27.0,55.0,0.329,17-24,10-31,2022
1610612740,West,New Orleans,82.0,36.0,46.0,0.439,19-22,17-24,2022
1610612741,East,Chicago,82.0,46.0,36.0,0.561,27-14,19-22,2022
1610612748,East,Miami,82.0,53.0,29.0,0.646,29-12,24-17,2022
1610612738,East,Boston,82.0,51.0,31.0,0.622,28-13,23-18,2022
1610612749,East,Milwaukee,82.0,51.0,31.0,0.622,27-14,24-17,2022
1610612755,East,Philadelphia,82.0,51.0,31.0,0.622,24-17,27-14,2022
1610612753,East,Orlando,82.0,22.0,60.0,0.268,12-29,10-31,2022
1610612765,East,Detroit,82.0,23.0,59.0,0.28,13-28,10-31,2022
1610612754,East,Indiana,82.0,25.0,57.0,0.305,16-25,9-32,2022
1610612764,East,Washington,82.0,35.0,47.0,0.427,21-20,14-27,2022
1610612752,East,New York,82.0,37.0,45.0,0.451,17-24,20-21,2022
1610612766,East,Charlotte,82.0,43.0,39.0,0.524,22-19,21-20,2022
1610612737,East,Atlanta,82.0,43.0,39.0,0.524,27-14,16-25,2022
1610612739,East,Cleveland,82.0,44.0,38.0,0.537,25-16,19-22,2022
1610612751,East,Brooklyn,82.0,44.0,38.0,0.537,20-21,24-17,2022
1610612761,East,Toronto,82.0,48.0,34.0,0.585,24-17,24-17,2022
1610612756,West,Phoenix,82.0,64.0,18.0,0.78,32-9,32-9,2022
